Short _Name,Long_Name,Short_Description,Long_Description,Data_Source,,,,,,,,,,,,,,,,,,,,,
m75_2008,Job_Density_2008,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2008",,,,,,,,,,,,,,,,,,,,,
r75_2008,Jobs_2008,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2008",,,,,,,,,,,,,,,,,,,,,
m75_2007,Job_Density_2007,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2007",,,,,,,,,,,,,,,,,,,,,
r75_2007,Jobs_2007,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2007",,,,,,,,,,,,,,,,,,,,,
m75_2006,Job_Density_2006,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2006",,,,,,,,,,,,,,,,,,,,,
r75_2006,Jobs_2006,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2006",,,,,,,,,,,,,,,,,,,,,
m75_2005,Job_Density_2005,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2005",,,,,,,,,,,,,,,,,,,,,
r75_2005,Jobs_2005,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2005",,,,,,,,,,,,,,,,,,,,,
m75_2004,Job_Density_2004,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2004",,,,,,,,,,,,,,,,,,,,,
r75_2004,Jobs_2004,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2004",,,,,,,,,,,,,,,,,,,,,
m75_2003,Job_Density_2003,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2003",,,,,,,,,,,,,,,,,,,,,
r75_2003,Jobs_2003,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2003",,,,,,,,,,,,,,,,,,,,,
m75_2002,Job_Density_2002,Jobs per acre,Number of all jobs divided by total land area.,"U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2002",,,,,,,,,,,,,,,,,,,,,
r75_2002,Jobs_2002,Number of jobs,"Total number of jobs. A job is defined as a link between a worker and a firm at which the work has been employed for two consecutive quarters. The data exclude federal civilian employees, uniformed military, self-employed workers and informally employed workers. If a worker was employed at more than one job and those jobs are covered by the core datasets, then all of those jobs will be included.","U.S. Census Bureau Longitudinal Employer-Household Dynamics, 2002",,,,,,,,,,,,,,,,,,,,,
m19_2018,Commercial_Construction_2018,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2017-June, 30 2018",,,,,,,,,,,,,,,,,,,,,
r19_2018,Commercial_Construction_Permitted_Units_2018,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2017-June, 30 2018",,,,,,,,,,,,,,,,,,,,,
m19_2017,Commercial_Construction_2017,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2016-June, 30 2017",,,,,,,,,,,,,,,,,,,,,
r19_2017,Commercial_Construction_Permitted_Units_2017,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2016-June, 30 2017",,,,,,,,,,,,,,,,,,,,,
m19_2016,Commercial_Construction_2016,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2015-June, 30 2016",,,,,,,,,,,,,,,,,,,,,
r19_2016,Commercial_Construction_Permitted_Units_2016,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2015-June, 30 2016",,,,,,,,,,,,,,,,,,,,,
m19_2015,Commercial_Construction_2015,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2014-June, 30 2015",,,,,,,,,,,,,,,,,,,,,
r19_2015,Commercial_Construction_Permitted_Units_2015,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2014-June, 30 2015",,,,,,,,,,,,,,,,,,,,,
m19_2014,Commercial_Construction_2014,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2013-June, 30 2014",,,,,,,,,,,,,,,,,,,,,
r19_2014,Commercial_Construction_Permitted_Units_2014,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2013-June, 30 2014",,,,,,,,,,,,,,,,,,,,,
m19_2013,Commercial_Construction_2013,Permitted Commercial building units per 100 acres,"The number of permitted new and renovated commercial building units divided by total land area, multiplied by 100.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2012-June, 30 2013",,,,,,,,,,,,,,,,,,,,,
r19_2013,Commercial_Construction_Permitted_Units_2013,Number of permitted commercial units,"Permits include New Nonresidential Buildings (US Department of Commerce Codes 213,318-320, and 322-328) and Nonresidential Additions, Renovations and Conversions (Code 437). Demolition permits and permits issued for parking garages and parks/outdoor stadiums are not included. Additions, Renovations and Conversions include additional space as well as changes based on building code, safety measures or improvements to heating/cooling, plumbing and electrical systems.","Mecklenburg County Land Use and Environmental Service Agency, July 1, 2012-June, 30 2013",,,,,,,,,,,,,,,,,,,,,
